Current_Customer_Grade,owns_car,wealth_segment,past_3_years_bike_related_purchases,property_valuation,age,label
4th grade,0,1,72,12,42,1
4th grade,0,2,44,8,55,8
4th grade,1,3,4,7,51,7
4th grade,0,3,78,7,56,0
4th grade,0,2,63,8,24,3
4th grade,1,1,88,11,42,4
4th grade,1,1,45,11,25,2
4th grade,0,3,51,5,33,0
4th grade,0,3,98,8,35,0
4th grade,0,1,42,7,19,3
4th grade,1,1,10,6,42,6
4th grade,0,1,5,10,41,8
4th grade,0,1,30,2,44,5
4th grade,1,2,67,9,41,4
4th grade,0,1,45,12,28,3
4th grade,0,1,46,5,46,5
4th grade,0,2,16,6,42,8
4th grade,1,2,94,11,41,4
4th grade,0,1,73,1,35,5
4th grade,0,2,97,1,24,5
4th grade,0,1,27,5,63,8
4th grade,0,1,37,3,31,5
5th grade,1,1,72,12,42,4
5th grade,1,3,95,6,51,7
5th grade,0,1,11,1,42,5
5th grade,0,3,43,9,50,0
5th grade,0,1,11,7,49,8
5th grade,1,2,99,8,25,4
5th grade,0,1,54,10,42,1
5th grade,0,3,42,10,40,0
5th grade,1,3,73,9,24,2
5th grade,0,2,72,8,43,1
5th grade,1,1,96,6,21,4
5th grade,1,3,13,10,61,7
5th grade,1,1,66,10,54,4
5th grade,1,1,87,8,22,4
5th grade,0,1,51,3,40,5
5th grade,1,1,67,12,34,4
5th grade,0,2,62,3,28,5
5th grade,0,1,10,8,22,3
5th grade,1,3,10,6,44,7
5th grade,0,1,94,2,53,5
5th grade,0,3,88,2,36,5
5th grade,1,2,77,3,35,9
5th grade,0,1,80,4,41,5
5th grade,0,1,33,9,58,8
5th grade,0,2,21,11,41,8
5th grade,1,1,32,7,42,6
5th grade,1,1,87,9,31,4
5th grade,0,2,90,10,33,3
5th grade,0,1,34,9,42,8
5th grade,0,1,17,9,61,8
5th grade,1,1,28,4,59,6
5th grade,0,1,98,8,49,1
5th grade,0,2,51,9,66,1
5th grade,0,2,59,8,42,0
5th grade,1,1,77,3,25,9
5th grade,0,3,50,12,46,0
5th grade,1,1,47,1,41,9
5th grade,0,1,4,3,35,5
5th grade,0,1,36,1,56,5
5th grade,0,2,91,11,30,3
5th grade,0,2,40,6,43,5
5th grade,1,1,84,3,45,9
5th grade,1,1,71,9,63,6
5th grade,1,1,7,6,43,6
5th grade,1,2,52,1,24,9
5th grade,0,2,53,10,45,0
5th grade,1,1,18,11,42,6
5th grade,0,1,98,2,39,5
5th grade,1,2,59,12,30,2
5th grade,0,3,18,7,42,0
5th grade,1,1,38,10,40,6
5th grade,1,1,74,11,53,4
5th grade,1,1,68,5,40,9
5th grade,1,2,64,8,46,7
5th grade,1,1,57,8,32,4
5th grade,0,3,88,11,45,0
5th grade,1,1,53,3,56,9
5th grade,1,2,88,9,35,4
5th grade,1,1,19,10,41,6
5th grade,1,1,35,8,31,2
5th grade,0,1,2,11,58,8
5th grade,1,1,27,1,32,9
5th grade,0,3,69,1,27,5
5th grade,1,3,77,2,28,9
5th grade,1,1,28,8,38,6
5th grade,1,1,43,4,47,9
5th grade,1,2,29,7,66,6
5th grade,1,2,29,4,61,9
5th grade,1,1,95,10,40,4
5th grade,1,1,43,8,42,6
5th grade,1,1,61,8,20,4
5th grade,0,1,11,6,54,8
5th grade,0,1,52,9,23,3
5th grade,0,2,21,8,33,3
5th grade,0,3,79,12,63,0
5th grade,0,2,83,8,26,3
5th grade,1,1,71,2,22,9
5th grade,1,3,46,7,47,7
5th grade,1,1,33,7,64,6
5th grade,1,2,35,10,28,2
5th grade,0,1,41,7,66,8
5th grade,1,1,51,11,21,2
5th grade,1,3,10,5,23,2
5th grade,0,1,7,8,40,8
5th grade,0,1,48,7,56,8
5th grade,0,1,47,9,59,8
5th grade,1,1,53,10,44,4
5th grade,1,2,5,9,46,6
5th grade,0,1,85,3,27,5
5th grade,1,1,73,9,51,4
5th grade,1,1,62,9,46,4
5th grade,1,3,96,6,65,7
5th grade,0,3,46,3,40,5
5th grade,0,1,95,11,52,1
5th grade,1,1,46,9,45,6
5th grade,1,1,84,8,25,4
5th grade,1,2,71,8,20,2
5th grade,1,1,84,10,41,4
5th grade,1,2,99,5,40,4
5th grade,1,1,73,8,43,4
5th grade,1,1,23,7,22,2
5th grade,0,1,73,7,40,1
5th grade,0,3,39,7,61,0
5th grade,0,3,93,8,22,0
5th grade,0,1,83,10,43,1
5th grade,1,3,61,6,49,7
5th grade,1,1,76,10,26,4
5th grade,1,3,12,12,50,7
5th grade,0,3,57,3,56,5
5th grade,0,3,80,10,47,0
5th grade,1,2,13,7,64,6
5th grade,1,2,48,11,56,7
5th grade,0,3,23,8,42,0
5th grade,0,1,83,12,39,1
5th grade,1,1,35,9,41,6
5th grade,1,1,80,9,47,4
5th grade,1,1,72,4,60,9
5th grade,1,1,82,5,50,4
5th grade,0,1,93,9,23,3
5th grade,1,3,93,9,49,7
5th grade,1,3,70,5,43,7
5th grade,0,1,89,1,42,5
5th grade,0,3,67,12,65,0
5th grade,1,2,53,8,49,7
5th grade,1,1,78,8,63,4
5th grade,0,2,33,11,64,8
5th grade,1,2,99,4,28,9
5th grade,0,3,68,8,54,0
5th grade,1,2,6,10,41,2
5th grade,0,1,33,3,31,5
5th grade,1,1,31,8,36,6
5th grade,0,3,60,8,44,0
5th grade,1,1,80,10,32,4
5th grade,1,2,96,8,52,4
5th grade,0,1,49,10,36,3
5th grade,0,1,63,9,56,1
5th grade,1,2,42,8,25,2
5th grade,1,3,30,8,63,7
5th grade,0,1,84,8,23,3
5th grade,0,1,40,7,39,8
5th grade,0,1,44,9,42,8
5th grade,1,2,87,7,38,4
5th grade,0,3,38,8,53,0
5th grade,1,1,9,6,63,6
5th grade,1,1,28,8,22,2
5th grade,1,2,73,9,42,4
5th grade,1,2,93,12,60,7
5th grade,1,1,75,6,49,4
5th grade,0,1,81,9,42,1
5th grade,1,1,19,8,39,6
5th grade,0,1,62,11,50,1
5th grade,1,3,17,7,42,7
5th grade,0,3,22,8,60,0
5th grade,1,1,21,4,43,9
5th grade,1,2,29,7,22,2
5th grade,1,1,72,3,44,9
5th grade,0,2,73,4,39,5
5th grade,0,1,70,12,25,3
5th grade,0,3,47,10,42,0
5th grade,0,2,49,7,44,0
5th grade,1,2,19,9,44,6
5th grade,1,2,96,10,63,7
5th grade,0,1,23,7,59,8
5th grade,1,2,2,10,44,6
5th grade,0,1,97,3,21,5
5th grade,0,1,2,1,67,5
5th grade,0,3,35,7,52,0
5th grade,0,1,6,9,27,3
5th grade,1,1,49,9,42,4
5th grade,1,3,78,9,61,7
5th grade,0,2,88,4,52,5
5th grade,0,1,16,7,51,8
5th grade,1,3,77,7,60,7
5th grade,0,3,11,9,23,0
5th grade,1,1,61,9,63,6
5th grade,1,1,76,5,20,4
5th grade,0,2,41,10,25,3
5th grade,1,1,81,10,28,4
5th grade,1,3,14,8,55,7
5th grade,0,1,48,7,43,8
5th grade,0,2,61,3,41,5
5th grade,1,3,24,4,45,9
5th grade,1,1,12,4,42,9
5th grade,0,3,55,4,23,0
5th grade,1,3,14,4,56,7
5th grade,1,3,80,7,41,7
5th grade,1,2,69,9,65,7
5th grade,1,1,18,3,39,9
5th grade,1,1,44,10,64,6
5th grade,0,2,23,8,40,8
5th grade,1,1,40,10,42,6
5th grade,1,1,14,12,61,6
5th grade,1,1,46,5,34,9
5th grade,0,3,69,9,54,0
5th grade,1,1,34,10,49,6
5th grade,0,1,28,4,42,5
5th grade,1,1,78,11,40,4
5th grade,0,3,89,10,43,0
5th grade,1,3,59,8,61,7
5th grade,1,1,73,11,42,4
5th grade,1,1,26,9,35,2
5th grade,0,2,57,6,46,5
5th grade,0,1,76,10,44,1
5th grade,0,1,25,10,51,8
5th grade,0,1,16,1,41,5
5th grade,0,3,50,10,49,0
5th grade,1,1,68,9,19,4
5th grade,1,1,67,6,33,4
5th grade,1,2,89,9,46,4
5th grade,0,1,45,8,61,8
5th grade,1,1,77,6,29,4
5th grade,0,1,94,1,60,5
5th grade,0,2,37,12,45,8
5th grade,1,1,72,8,57,4
5th grade,0,1,1,9,50,8
5th grade,0,2,1,1,56,5
5th grade,0,3,4,9,42,0
5th grade,1,3,29,7,49,7
5th grade,0,1,65,5,21,3
5th grade,0,2,50,10,54,8
5th grade,1,2,44,9,63,6
5th grade,0,1,0,2,40,5
5th grade,0,1,40,7,57,8
5th grade,0,1,31,6,40,8
5th grade,0,3,15,7,49,0
5th grade,0,3,47,7,61,0
5th grade,1,1,87,6,32,4
5th grade,1,2,83,10,30,4
5th grade,1,3,38,9,44,7
5th grade,1,2,7,4,47,9
5th grade,0,2,88,9,53,1
5th grade,0,1,23,8,51,8
5th grade,0,2,20,6,35,5
5th grade,1,1,23,10,36,6
5th grade,1,1,90,8,44,4
5th grade,1,1,43,8,54,6
5th grade,0,1,78,9,59,1
5th grade,0,3,78,10,36,0
5th grade,1,1,47,11,46,6
5th grade,1,1,52,9,57,6
5th grade,1,1,87,10,42,4
5th grade,1,1,7,8,45,6
5th grade,0,1,30,11,42,8
5th grade,0,2,50,1,36,5
5th grade,1,1,64,7,64,6
5th grade,0,1,65,8,59,1
5th grade,1,3,56,8,32,7
5th grade,1,1,46,8,41,6
5th grade,0,2,41,8,43,0
5th grade,1,3,37,7,58,7
5th grade,0,1,96,10,44,1
5th grade,0,1,25,5,33,5
5th grade,0,3,16,8,43,0
5th grade,1,2,46,11,43,7
5th grade,1,1,74,9,48,4
5th grade,0,1,5,7,67,8
5th grade,0,2,55,7,24,3
5th grade,1,2,69,12,46,4
5th grade,0,1,3,9,47,8
5th grade,1,1,32,11,47,6
5th grade,1,1,77,8,61,4
5th grade,0,2,2,5,35,5
5th grade,1,1,13,8,48,6
5th grade,0,1,42,9,33,3
5th grade,0,1,38,8,42,8
5th grade,0,2,34,8,39,8
5th grade,0,2,16,3,44,5
5th grade,0,1,37,8,49,8
5th grade,1,2,61,8,63,7
5th grade,0,1,60,9,40,1
5th grade,1,1,32,9,43,6
5th grade,0,2,83,8,61,1
5th grade,0,1,3,9,56,8
5th grade,1,1,42,3,42,9
5th grade,1,2,99,8,61,7
5th grade,0,1,7,4,66,8
5th grade,1,2,47,7,34,2
5th grade,1,2,44,10,62,6
5th grade,0,3,39,2,44,5
6th grade,1,3,59,2,40,9
6th grade,1,2,60,10,58,7
6th grade,1,3,58,3,42,9
6th grade,0,1,28,8,42,8
6th grade,1,1,82,5,53,4
6th grade,1,3,79,5,56,7
6th grade,1,1,83,8,64,4
6th grade,1,1,19,11,40,6
6th grade,1,2,58,9,49,7
6th grade,1,2,92,4,25,9
6th grade,0,2,9,1,43,5
6th grade,1,3,0,10,46,7
6th grade,1,2,50,8,49,7
6th grade,1,1,19,7,31,2
6th grade,0,2,79,9,55,1
6th grade,1,3,17,12,25,2
6th grade,1,1,29,9,41,6
6th grade,0,1,24,3,56,5
6th grade,0,1,57,9,51,1
6th grade,1,2,7,7,42,6
6th grade,0,1,66,6,54,1
6th grade,0,1,34,6,29,3
6th grade,1,2,78,11,46,4
6th grade,0,1,26,10,21,3
6th grade,1,1,38,8,41,6
6th grade,1,1,92,8,32,4
6th grade,1,2,0,7,65,6
6th grade,0,3,43,8,22,0
6th grade,0,1,88,7,55,1
6th grade,1,3,62,4,37,9
6th grade,1,1,16,8,41,6
6th grade,1,3,72,5,63,7
6th grade,1,2,61,7,57,7
6th grade,0,1,33,7,46,8
6th grade,0,1,76,12,24,3
6th grade,0,1,90,9,23,3
6th grade,0,1,50,5,66,1
6th grade,1,1,77,7,26,4
6th grade,1,3,15,9,44,7
6th grade,0,2,22,9,52,8
6th grade,0,3,16,5,35,0
6th grade,0,1,71,3,42,5
6th grade,0,1,1,9,32,8
6th grade,1,1,46,7,23,2
6th grade,0,2,12,10,24,3
6th grade,1,1,55,10,43,4
6th grade,1,2,36,6,42,9
6th grade,0,2,81,7,42,1
6th grade,0,1,97,8,37,1
6th grade,1,3,2,1,44,9
6th grade,1,2,13,4,60,6
6th grade,0,1,68,5,61,1
6th grade,0,2,65,11,21,3
6th grade,0,1,72,7,59,1
6th grade,1,1,46,9,42,6
6th grade,1,1,5,8,25,2
6th grade,1,2,93,6,42,4
6th grade,0,1,36,11,56,8
6th grade,1,1,70,8,51,4
6th grade,1,1,19,3,26,9
6th grade,0,1,46,3,43,5
6th grade,0,2,44,9,59,8
6th grade,0,2,21,6,67,8
6th grade,0,2,27,12,57,8
6th grade,0,1,26,3,27,5
6th grade,1,1,19,9,25,2
6th grade,1,1,43,11,44,6
6th grade,1,1,77,9,42,4
6th grade,1,3,97,8,28,7
6th grade,1,1,4,10,18,2
6th grade,1,1,49,5,22,9
6th grade,0,1,95,1,42,5
6th grade,0,1,2,11,66,8
6th grade,1,1,19,11,40,6
6th grade,1,1,67,10,42,4
6th grade,0,1,18,7,24,3
6th grade,0,1,70,7,62,1
6th grade,0,1,64,9,45,1
6th grade,0,1,76,5,42,1
6th grade,1,1,1,11,43,6
6th grade,1,1,34,9,21,2
6th grade,1,2,98,9,47,4
6th grade,0,3,7,5,34,0
6th grade,1,1,31,9,51,6
6th grade,1,3,56,10,52,7
6th grade,1,3,97,10,31,7
6th grade,1,1,75,2,20,9
6th grade,1,3,9,7,25,2
6th grade,0,2,76,5,41,5
6th grade,0,1,43,9,53,8
6th grade,1,3,47,7,53,7
6th grade,1,1,17,9,22,2
6th grade,1,2,63,2,39,9
6th grade,1,1,20,2,65,9
6th grade,0,2,52,8,52,1
6th grade,1,2,81,8,55,7
6th grade,1,2,34,7,44,6
6th grade,1,3,88,6,32,7
6th grade,1,2,6,4,51,9
6th grade,1,2,28,7,47,6
6th grade,1,1,68,9,52,4
6th grade,1,2,51,4,38,9
6th grade,0,3,74,11,66,0
6th grade,1,1,0,9,35,6
6th grade,0,1,12,12,47,8
6th grade,1,2,58,10,42,7
6th grade,0,3,67,6,34,0
6th grade,0,1,64,5,43,5
6th grade,0,3,83,1,46,5
6th grade,0,1,85,9,48,1
6th grade,0,1,89,6,40,1
6th grade,0,3,87,9,47,0
6th grade,0,3,13,5,42,0
6th grade,1,3,20,12,43,7
6th grade,0,3,13,8,43,0
6th grade,0,1,5,12,21,3
6th grade,0,3,98,5,44,0
6th grade,0,1,23,8,62,8
6th grade,1,1,55,5,34,9
6th grade,0,3,0,7,28,0
6th grade,1,2,50,8,34,2
6th grade,1,2,67,11,25,2
6th grade,0,3,56,10,42,0
6th grade,0,3,82,8,42,0
6th grade,0,1,69,3,46,5
6th grade,0,1,96,8,65,1
6th grade,0,3,29,11,22,0
6th grade,1,1,51,5,36,9
6th grade,1,1,84,9,31,4
6th grade,0,3,59,1,44,5
6th grade,0,1,9,7,58,8
6th grade,1,2,44,8,41,2
6th grade,1,2,14,11,56,6
6th grade,0,1,30,8,44,8
6th grade,1,2,15,8,43,6
6th grade,0,3,50,12,48,0
6th grade,0,1,88,9,42,1
6th grade,1,1,55,2,19,9
6th grade,0,1,56,4,43,5
6th grade,0,1,98,5,27,3
6th grade,0,3,0,9,33,0
6th grade,1,3,43,7,57,7
6th grade,0,3,87,8,62,0
6th grade,1,3,32,11,59,7
6th grade,0,1,80,9,57,1
6th grade,0,2,72,8,22,3
6th grade,0,3,36,8,43,0
6th grade,0,3,44,11,58,0
6th grade,0,3,59,10,19,0
6th grade,0,2,79,7,20,3
6th grade,0,2,80,5,25,3
6th grade,0,1,13,11,60,8
6th grade,0,1,77,9,35,3
6th grade,0,1,38,9,32,3
6th grade,1,3,98,11,53,7
6th grade,0,3,31,9,41,0
6th grade,1,1,40,10,63,6
6th grade,0,3,32,2,42,5
6th grade,1,1,53,10,66,6
6th grade,1,3,5,11,33,2
6th grade,1,2,56,6,43,9
6th grade,1,3,33,10,50,7
6th grade,0,2,99,6,36,1
6th grade,1,1,38,10,50,6
6th grade,0,3,70,12,42,0
6th grade,0,3,3,7,59,0
6th grade,1,1,71,7,56,4
6th grade,0,1,67,3,30,5
6th grade,1,1,11,1,61,9
6th grade,1,2,26,3,44,9
6th grade,1,3,65,10,35,7
6th grade,1,1,58,4,44,9
6th grade,1,1,44,9,42,6
6th grade,1,2,60,2,40,9
6th grade,1,1,8,8,50,6
6th grade,0,2,38,10,42,8
6th grade,1,3,84,8,19,2
6th grade,1,3,28,7,44,7
6th grade,1,1,89,10,39,4
6th grade,0,1,75,3,43,5
6th grade,0,3,24,5,50,0
6th grade,0,1,44,11,28,3
6th grade,1,1,33,7,42,6
6th grade,0,2,48,7,45,0
6th grade,0,1,22,9,59,8
6th grade,1,1,98,10,43,4
6th grade,0,1,31,5,39,5
6th grade,1,3,40,8,61,7
6th grade,1,1,89,5,54,4
6th grade,0,3,73,7,29,0
6th grade,0,1,34,12,42,8
6th grade,1,1,59,12,55,6
6th grade,1,1,75,11,46,4
6th grade,0,3,63,9,35,0
6th grade,0,3,38,3,53,5
6th grade,1,1,29,5,41,9
6th grade,1,3,17,9,28,2
6th grade,0,1,30,10,40,8
6th grade,1,3,16,10,19,2
6th grade,0,1,97,9,22,3
6th grade,0,1,89,8,22,3
6th grade,0,1,29,1,24,5
6th grade,0,2,91,8,39,1
6th grade,1,1,46,4,55,9
6th grade,1,3,71,4,25,9
6th grade,0,1,73,11,67,1
6th grade,0,1,80,8,23,3
6th grade,1,1,98,2,60,9
6th grade,1,1,17,6,56,6
6th grade,1,1,12,7,38,6
6th grade,1,1,96,7,56,4
6th grade,1,1,64,6,56,6
6th grade,0,1,37,8,42,8
6th grade,0,3,12,12,43,0
6th grade,0,2,99,12,24,3
6th grade,0,1,64,9,44,1
6th grade,0,1,56,3,54,5
6th grade,0,1,87,11,46,1
6th grade,1,3,73,6,50,7
6th grade,1,3,27,8,77,7
6th grade,0,2,42,4,42,5
6th grade,1,1,38,4,43,9
6th grade,1,1,4,9,46,6
6th grade,1,1,64,8,53,4
6th grade,1,1,47,10,22,2
6th grade,1,1,93,6,20,4
6th grade,1,1,9,8,47,6
6th grade,0,1,2,8,42,8
6th grade,0,1,57,9,51,1
6th grade,0,1,50,9,44,8
6th grade,1,2,30,9,47,6
6th grade,0,3,41,10,47,0
6th grade,0,1,38,10,47,8
6th grade,1,3,6,8,50,7
6th grade,0,1,2,9,62,8
6th grade,0,1,51,2,33,5
6th grade,0,3,88,5,50,0
6th grade,0,1,22,5,34,5
6th grade,1,1,39,12,26,2
6th grade,0,1,35,8,24,3
6th grade,0,1,11,10,42,8
6th grade,0,1,75,2,37,5
6th grade,1,1,48,9,46,6
6th grade,0,3,44,2,66,5
6th grade,1,3,73,9,22,2
6th grade,0,1,66,8,55,1
6th grade,0,2,27,9,48,8
6th grade,0,1,49,10,31,3
6th grade,1,1,48,10,33,4
6th grade,0,3,36,10,49,0
6th grade,1,3,10,10,36,2
6th grade,0,1,22,3,44,5
6th grade,0,2,54,4,38,5
6th grade,0,2,21,9,51,8
6th grade,0,1,32,11,45,8
6th grade,1,3,20,4,33,9
6th grade,1,1,80,2,39,9
6th grade,1,2,80,3,39,9
6th grade,0,1,35,3,42,5
6th grade,1,2,21,10,44,6
6th grade,0,3,48,7,53,0
6th grade,0,3,63,1,56,5
6th grade,1,1,85,4,35,9
6th grade,1,3,84,4,43,7
6th grade,0,2,18,8,29,3
6th grade,1,2,16,11,42,2
6th grade,0,3,47,9,42,0
6th grade,1,1,9,10,58,6
6th grade,0,3,73,4,45,0
6th grade,0,1,42,9,49,8
6th grade,0,3,96,1,63,5
6th grade,1,2,13,7,37,2
6th grade,0,2,72,11,40,1
6th grade,0,1,12,6,41,8
6th grade,1,2,90,7,24,4
6th grade,1,2,64,6,41,9
6th grade,1,3,20,8,22,2
6th grade,1,2,47,8,38,2
6th grade,1,2,83,3,50,9
6th grade,0,2,60,5,22,3
6th grade,0,2,24,9,47,8
6th grade,0,1,61,9,54,1
6th grade,1,1,7,7,49,6
