transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
84,33,3297,2017-11-02,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18 ",1992-10-11
85,84,2434,2017-02-13,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14 ,2004-12-18
86,1,1861,2017-07-19,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82 ,2004-09-28
87,27,1233,2017-05-23,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72 ,1991-08-05
88,31,1390,2017-08-06,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36 ,1993-04-20
89,0,2682,2017-04-04,TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21 ,2010-05-05
90,62,439,2017-08-15,TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72 ,1993-06-23
91,17,1579,2017-04-15,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80 ,1996-04-05
92,73,2984,2017-07-25,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18 ,2000-05-22
93,33,3470,2017-11-28,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18 ",1999-12-04
94,86,1,2017-12-23,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,2005-05-10
95,45,757,2017-02-26,FALSE,Approved,Solex,Standard,medium,medium,441.49,$84.99 ,1993-04-12
96,1,1778,2017-02-21,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82 ,2011-04-16
97,80,211,2017-05-31,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84 ,2004-12-18
98,49,333,2017-06-23,,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13 ,2003-07-21
99,95,32,2017-03-26,FALSE,Approved,Giant Bicycles,Standard,medium,large,569.56,$528.43 ,2003-09-10
100,0,119,2017-07-31,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72 ,1998-12-17
101,18,2347,2017-07-27,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18 ,2015-08-10
102,4,2353,2017-04-14,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48 ,2011-04-16
103,33,788,2017-11-12,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18 ",1992-10-11
104,78,1468,2017-09-12,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48 ,2004-07-25
105,89,821,2017-10-26,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74 ,2013-06-09
106,70,2489,2017-02-15,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43 ,2015-04-11
107,79,2710,2017-12-22,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01 ,2003-09-09
108,26,947,2017-10-11,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63 ,1993-05-26
109,39,1335,2017-03-27,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48 ,2006-10-01
110,36,1076,2017-11-04,FALSE,Approved,Solex,Standard,low,medium,945.04,$507.58 ,1995-12-19
111,0,3320,2017-06-11,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93 ,2015-06-17
112,84,779,2017-10-09,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68 ,1992-10-02
113,98,3296,2017-06-07,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03 ,1991-05-06
114,75,455,2017-10-24,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95 ,2003-09-09
115,76,1779,2017-05-01,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85 ,2005-05-10
116,72,2703,2017-11-21,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30 ,2011-01-10
117,42,806,2017-03-24,FALSE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90 ",1993-04-12
119,64,1591,2017-02-20,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55 ,2005-10-22
120,0,678,2017-06-16,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43 ,2015-04-11
121,25,50,2017-12-04,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,1992-10-11
122,24,1038,2017-12-01,TRUE,Approved,Solex,Road,medium,large,1777.8,$820.78 ,1993-05-26
123,31,1453,2017-03-05,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36 ,2015-08-02
124,98,1339,2017-03-21,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58 ,1997-02-09
125,22,3382,2017-01-03,TRUE,Approved,Solex,Standard,medium,medium,575.27,$431.45 ,2013-03-12
126,53,773,2017-04-01,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58 ,2003-07-21
127,84,2503,2017-03-16,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14 ,2005-05-10
128,25,1057,2017-02-26,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,2016-02-04
129,50,1397,2017-06-05,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92 ,2015-10-18
130,44,2134,2017-09-04,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76 ,2011-05-09
131,96,2403,2017-01-18,TRUE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77 ",2002-10-10
132,12,1937,2017-09-28,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60 ,2004-08-17
133,93,1282,2017-09-02,TRUE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09 ,2002-10-10
134,78,2183,2017-05-09,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48 ,1991-07-10
135,84,1788,2017-10-17,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68 ,2006-05-22
136,65,1170,2017-04-25,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69 ,2015-04-11
137,0,431,2017-09-23,FALSE,Approved,,,,,1942.61,,
138,29,1940,2017-08-02,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09 ,2000-11-03
140,11,462,2017-01-01,FALSE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96 ,2016-07-09
141,10,2728,2017-12-22,FALSE,Approved,Solex,Standard,medium,medium,1945.43,$333.18 ,2002-08-31
142,46,2053,2017-12-25,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51 ,2012-06-04
143,60,2135,2017-01-26,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85 ",2012-05-18
144,92,1217,2017-12-20,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14 ,1991-01-21
145,7,2992,2017-06-07,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43 ,2005-12-07
146,41,3261,2017-04-06,TRUE,Approved,Solex,Road,medium,medium,416.98,$312.74 ,1997-05-10
147,67,2748,2017-04-25,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84 ,2005-10-22
148,14,3262,2017-01-13,FALSE,Approved,Trek Bicycles,Standard,medium,small,1386.84,"$1,234.29 ",2003-08-05
149,89,788,2017-03-21,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74 ,1993-04-20
150,9,3067,2017-11-21,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40 ,1994-09-09
151,31,701,2017-11-11,FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18 ,2003-03-18
152,92,648,2017-10-16,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36 ",2000-11-03
153,37,3286,2017-08-19,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82 ,1999-07-20
154,3,3383,2017-04-06,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92 ,2011-08-29
155,56,982,2017-11-04,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88 ,2016-02-04
156,14,676,2017-08-22,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75 ",2003-09-09
157,6,385,2017-09-15,TRUE,Approved,Solex,Standard,high,medium,748.17,$448.90 ,2015-04-11
158,50,1229,2017-03-01,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92 ,2009-04-12
159,10,3232,2017-08-16,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25 ,2013-03-12
160,0,3300,2017-08-27,FALSE,Approved,,,,,1656.86,,
161,69,2381,2017-07-10,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68 ,2015-04-11
162,78,371,2017-12-11,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48 ,2004-07-25
163,80,2519,2017-05-20,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84 ,2015-08-10
164,17,2264,2017-07-30,FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80 ,1996-11-09
165,3,2637,2017-10-25,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92 ,2005-08-09
166,78,3262,2017-11-27,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48 ,2004-07-25
167,90,3177,2017-04-26,,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41 ,2005-05-10
168,87,2267,2017-02-02,FALSE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40 ,1997-08-25
169,97,456,2017-05-02,FALSE,Approved,Solex,Standard,medium,large,202.62,$151.96 ,2004-01-16
170,6,404,2017-10-16,,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73 ,2003-08-05
171,100,3121,2017-10-22,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35 ,1991-05-06
172,55,2365,2017-04-11,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76 ,1991-01-21
173,100,2528,2017-11-16,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35 ,1991-05-06
174,10,3151,2017-12-17,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25 ,1994-09-09
175,25,3241,2017-12-23,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,2016-11-22
176,74,1335,2017-03-30,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91 ,2003-09-09
177,90,2234,2017-04-13,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41 ,2005-05-10
178,56,3226,2017-07-25,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90 ,1997-10-04
179,62,1365,2017-01-31,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72 ,1993-06-23
180,20,3349,2017-03-18,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47 ",2010-05-05
181,17,1002,2017-02-24,FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80 ,2011-05-07
182,16,2282,2017-02-18,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11 ",2013-03-12
183,46,2656,2017-01-07,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51 ,2012-06-04
184,71,2409,2017-07-05,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75 ",1995-10-24
185,91,1711,2017-11-19,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85 ,2004-07-25
186,17,2582,2017-11-08,TRUE,Approved,Solex,Standard,high,medium,1024.66,$614.80 ,1996-11-09
187,1,1005,2017-07-24,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95 ,2003-09-09
188,3,1597,2017-01-15,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92 ,2012-09-15
189,56,2713,2017-01-12,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90 ,1993-06-23
190,37,1435,2017-11-27,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82 ,2011-05-09
191,34,1477,2017-06-30,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72 ,2008-03-19
192,0,1614,2017-07-15,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18 ,2006-11-10
193,12,1254,2017-06-22,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60 ,2009-03-08
194,25,1423,2017-05-02,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65 ,2011-01-10
195,81,276,2017-12-27,FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94 ,1991-07-10
196,19,1315,2017-12-21,TRUE,Approved,OHM Cycles,Road,high,large,12.01,$7.21 ,1999-06-23
197,45,591,2017-05-23,TRUE,Approved,Solex,Standard,medium,medium,441.49,$84.99 ,1993-04-12
198,74,1017,2017-02-02,FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52 ,2014-07-28
199,33,2123,2017-06-08,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18 ",1992-10-11
200,57,2889,2017-04-15,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14 ,1993-06-23
201,0,3208,2017-09-05,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13 ,2012-06-04
202,23,2406,2017-02-26,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88 ,2006-11-10
203,67,2041,2017-07-29,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84 ,2005-10-22
204,81,1598,2017-07-03,TRUE,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94 ,1991-07-10
205,58,1842,2017-05-27,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40 ,2015-10-18
206,5,141,2017-05-05,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48 ,2005-08-09
207,94,1321,2017-09-09,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66 ,2013-06-09
208,51,183,2017-05-21,FALSE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40 ",2012-04-10
209,59,2591,2017-09-22,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36 ",2003-01-05
210,63,3356,2017-04-12,TRUE,Approved,Solex,Standard,medium,medium,1483.2,$99.59 ,1992-10-02
211,40,766,2017-05-07,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90 ,2006-02-02
212,80,1596,2017-01-13,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55 ,2005-10-22
213,82,520,2017-12-14,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18 ,2015-08-10
214,46,868,2017-03-22,TRUE,Approved,Solex,Standard,low,medium,1289.85,$74.51 ,2012-04-10
215,78,2999,2017-09-30,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48 ,2015-08-10
216,72,352,2017-11-29,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30 ,2016-12-06
217,75,1140,2017-06-09,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95 ,2004-07-25
218,40,621,2017-04-21,FALSE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76 ,2003-07-21
219,2,3307,2017-11-13,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,$525.33 ,2010-11-05
220,10,1502,2017-04-09,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25 ,2013-03-12
221,35,936,2017-05-08,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82 ,2016-11-14
222,8,939,2017-07-08,TRUE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13 ",2011-04-16
223,2,2698,2017-11-30,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,$525.33 ,2010-11-05
224,69,579,2017-04-25,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68 ,1992-10-02
225,54,2036,2017-03-30,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44 ,2009-04-12
226,8,3077,2017-03-10,FALSE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13 ",1993-04-20
227,86,369,2017-03-16,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,2005-05-10
228,13,821,2017-04-04,TRUE,Approved,Solex,Standard,medium,medium,1163.89,$589.27 ,2013-03-12
229,19,2687,2017-03-13,TRUE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71 ,2011-08-29
230,86,681,2017-12-23,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,2013-06-09
231,46,37,2017-08-12,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82 ,1999-07-20
232,30,3002,2017-08-04,FALSE,Approved,Solex,Standard,high,medium,748.17,$448.90 ,1999-07-20
233,92,396,2017-09-01,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14 ,1991-01-21
234,71,550,2017-09-01,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75 ",1995-10-24
235,77,1605,2017-07-02,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10 ,2011-01-10
236,7,2325,2017-08-31,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18 ",2003-03-18
237,23,1420,2017-03-11,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88 ,1993-10-02
238,12,3099,2017-10-08,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60 ,1994-09-09
239,61,1645,2017-10-01,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93 ,2015-05-21
240,21,546,2017-11-23,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74 ,1991-11-10
241,86,2885,2017-03-27,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07 ,2003-01-05
